Year,Name,POS,Height,Weight,Forty_Yard,Bench_Press,Vert_Leap,Broad_Jump,Shuttle,position_group
1987,Danny Noonan,DT,75.0,274,4.82,,32.0,115.0,4.38,lineman
1987,Tyrone Sorrells,OG,75.8,265,4.82,18.0,30.5,114.0,5.05,lineman
1987,Don Majkowski,QB,73.5,199,4.83,,34.0,116.0,4.13,LB_FB_TE_QB
1987,Steve Bartalo,RB,68.8,201,4.83,14.0,28.5,114.0,4.05,WR_RB_DB
1987,Jeff Van Raaphorst,QB,73.0,206,4.83,8.0,24.0,106.0,4.41,LB_FB_TE_QB
1987,Larry Kelm,OLB,75.8,221,4.83,12.0,30.0,113.0,4.29,LB_FB_TE_QB
1987,Danny Lockett,OLB,74.0,228,4.83,21.0,30.5,120.0,4.39,LB_FB_TE_QB
1987,Tony Elliott,SS,70.4,190,4.84,8.0,27.0,103.0,4.21,WR_RB_DB
1987,Keith Mckeller,TE,76.3,244,4.84,16.0,31.0,111.0,4.63,LB_FB_TE_QB
1987,Ray Berry,ILB,74.5,226,4.85,22.0,28.5,105.0,4.47,LB_FB_TE_QB
1987,Mike Reid,ILB,73.3,230,4.85,17.0,28.0,112.0,4.41,LB_FB_TE_QB
1987,Alex Gordon,OLB,76.8,239,4.85,13.0,29.0,115.0,4.62,LB_FB_TE_QB
1987,Don Graham,ILB,73.5,240,4.85,18.0,29.0,105.0,4.21,LB_FB_TE_QB
1987,Rod Jones,TE,75.3,246,4.85,14.0,24.0,108.0,4.47,LB_FB_TE_QB
1987,John Bosa,DE,76.1,267,4.85,27.0,28.0,99.0,4.41,lineman
1987,Tony Woods,DE,74.8,249,4.85,18.0,29.0,115.0,4.55,lineman
1987,Doug Hudson,QB,73.8,197,4.86,,25.0,105.0,4.52,LB_FB_TE_QB
1987,Robert Awalt,TE,77.0,239,4.86,,28.0,108.0,4.45,LB_FB_TE_QB
1987,Victor Simmons,OLB,72.0,244,4.86,27.0,28.5,110.0,4.6,LB_FB_TE_QB
1987,Jerome Brown,DT,74.3,292,4.86,17.0,,,,lineman
1987,Steve Alvord,DE,76.5,273,4.86,18.0,28.5,108.0,4.49,lineman
1987,Bobby White,DT,74.3,246,4.87,18.0,26.0,109.0,4.41,lineman
1987,Chris Kelley,TE,75.0,242,4.88,13.0,30.0,102.0,4.5,LB_FB_TE_QB
1987,Merril Hoge,FB,72.6,210,4.89,15.0,28.5,100.0,4.09,LB_FB_TE_QB
1987,Theo Young,TE,74.0,231,4.89,9.0,30.0,107.0,4.2,LB_FB_TE_QB
1987,Jeff Modesitt,TE,75.8,241,4.89,16.0,30.5,112.0,4.48,LB_FB_TE_QB
1987,Colin Scotts,DE,77.5,264,4.89,,27.0,111.0,4.41,lineman
1987,Dale Jones,ILB,73.1,223,4.91,,25.0,101.0,4.55,LB_FB_TE_QB
1987,Charles Faucette,ILB,74.8,240,4.91,,30.0,113.0,4.46,LB_FB_TE_QB
1987,Bruce Holmes,OLB,73.9,229,4.92,15.0,28.0,105.0,4.5,LB_FB_TE_QB
1987,Bob Ontko,OLB,75.0,233,4.92,23.0,28.5,116.0,4.28,LB_FB_TE_QB
1987,Mark Mraz,DT,75.1,256,4.92,21.0,28.0,113.0,4.53,lineman
1987,Gerald Nichols,DT,73.0,263,4.93,22.0,25.0,109.0,4.48,lineman
1987,Brian Siverling,TE,78.5,252,4.94,6.0,29.0,99.0,4.61,LB_FB_TE_QB
1987,Kelly Stouffer,QB,75.0,212,4.95,,28.0,108.0,4.51,LB_FB_TE_QB
1987,Henry Thomas,DT,73.8,268,4.95,18.0,27.0,98.0,4.67,lineman
1987,Bill Ransdell,QB,73.5,204,4.96,10.0,24.0,99.0,4.22,LB_FB_TE_QB
1987,Karl Wilson,DE,76.5,258,4.96,,25.0,111.0,4.56,lineman
1987,Walter Johnson,DT,73.0,257,4.97,20.0,28.5,110.0,4.86,lineman
1987,John Adickes,C,74.8,266,4.97,25.0,26.5,103.0,4.6,lineman
1987,Robert Banks,DT,76.0,250,4.98,18.0,,,,lineman
1987,Albert Reese,TE,75.3,254,4.99,,28.5,107.0,4.42,LB_FB_TE_QB
1987,Ron Mclean,DE,75.5,267,4.99,20.0,24.0,114.0,4.68,lineman
1987,Rod Saddler,DE,77.3,276,4.99,16.0,30.5,114.0,4.68,lineman
1987,Mark Garalczyk,DT,76.9,272,5.01,14.0,28.0,106.0,4.56,lineman
1987,Chris Spachman,DE,76.6,242,5.01,11.0,26.5,109.0,4.4,lineman
1987,Harris Barton,C,76.3,280,5.03,24.0,31.0,106.0,4.46,lineman
1987,Ben Tamburello,C,74.5,264,5.03,20.0,28.0,108.0,4.59,lineman
1987,Tim Johnson,DT,74.0,253,5.03,20.0,25.0,100.0,4.56,lineman
1987,Bruce Armstrong,OT,76.0,284,5.05,22.0,27.0,100.0,4.81,lineman
1987,Leon Seals,DE,76.9,263,5.05,10.0,22.5,101.0,4.79,lineman
1987,Curt Jarvis,DT,73.0,266,5.08,15.0,24.5,92.0,4.69,lineman
1987,Archie Harris,OT,77.9,270,5.08,31.0,,,,lineman
1987,James Hansen,OT,76.8,258,5.09,21.0,24.0,108.0,4.43,lineman
1987,Steve Beuerlein,QB,74.4,203,5.1,3.0,23.0,93.0,4.63,LB_FB_TE_QB
1987,Frank Winters,C,75.0,273,5.1,20.0,25.5,100.0,4.79,lineman
1987,Paul Kiser,OG,75.6,277,5.11,,26.0,93.0,4.95,lineman
1987,Ron Bohm,DT,74.6,254,5.12,13.0,24.5,103.0,4.54,lineman
1987,Skip Mcclendon,DE,77.0,266,5.12,12.0,28.0,112.0,4.52,lineman
1987,Mike Shula,QB,74.0,201,5.13,2.0,26.5,99.0,4.49,LB_FB_TE_QB
1987,David Alexander,C,75.0,279,5.13,22.0,27.5,105.0,4.33,lineman
